"","effect","LCL","UCL","betaName","nest"
"1",1.5565656702125,0.628337295465831,2.56641246216939,"Shrub cover","shrubs"
"2",1.60883996924681,0.660353506491551,2.7579703108556,"Shrub cover","trees"
"3",2.18167426591176,0.594134399410669,4.18325116281471,"Shrub cover","cavities"
"4",1.61988061870694,0.42625664569781,2.9726376960817,"Shrub cover","grass"
"5",1.47138422590869,0.476182094097372,2.54343560890531,"intercept","shrubs"
"6",2.44222247743807,1.4088309991432,3.61316096492354,"intercept","trees"
"7",2.6517719034567,0.820510571657061,4.65162022864504,"intercept","cavities"
"8",0.0314482099182685,-1.54360984331818,1.73793330405584,"intercept","grass"
"9",-0.0209035548395785,-1.28903592116374,1.34020443239405,"Pasture","shrubs"
"10",-0.804307223770134,-2.05689431140233,0.534812368730493,"Pasture","trees"
"11",-3.2733618777053,-5.70502330541889,-0.873063553347345,"Pasture","cavities"
"12",-1.00315671199285,-3.25796706355863,1.02164071916223,"Pasture","grass"
"13",-1.2950250477846,-2.84839974781781,0.372499927203656,"Homestead","shrubs"
"14",-2.08384974746117,-3.76897121001327,-0.431317665376174,"Homestead","trees"
"15",-1.25315409028859,-4.42784523168461,2.11180023998696,"Homestead","cavities"
"16",1.0087317407991,-1.71941268707463,3.94444593982319,"Homestead","grass"
"17",-4.5436273747661,-6.33012179957292,-2.5527222579512,"Plantation","shrubs"
"18",-4.94579161612409,-6.84772400696785,-3.13808185470877,"Plantation","trees"
"19",-8.51894396364381,-12.78123079437,-4.02988945007219,"Plantation","cavities"
"20",-1.60446103980541,-4.69241545703892,1.33471865147759,"Plantation","grass"
