"","effect","95% LCL","95% UCL","90%LCL","90% UCL","betaName","measure"
"1",-0.00580263141565491,-0.027658632074369,0.0225242570349716,-0.0238978835469709,0.0172172652156346,"Shrub","mass"
"2",0.0236007690473814,-0.00150529863459082,0.0596700282311098,0.00111883038716255,0.0525398421869522,"Intercept","mass"
"3",-0.00655704079485196,-0.0422739120057963,0.0392305465899917,-0.0366493884921916,0.0283892918471898,"Pasture","mass"
"4",-0.0256700902579675,-0.0662135805214218,0.0234100570856215,-0.0596147784751602,0.0131758305491261,"Homestead","mass"
"5",-0.00240846051072687,-0.0469926099851297,0.053223901758635,-0.0417941497832891,0.0430122802313822,"Plantation","mass"
"6",-1.11842145241378,-4.89693578599792,3.66776840971074,-4.33869178627638,2.67947146500415,"Shrub","loading"
"7",2.53340821728331,-1.92601772530926,8.20580265091898,-1.25193676233152,7.26050416029369,"Intercept","loading"
"8",-0.250365498564335,-6.10393747651799,7.15332595561721,-5.28637499895844,5.49076174124831,"Pasture","loading"
"9",-3.77093186626233,-10.6944579715616,4.17913917301754,-9.51899364601396,2.4902145182631,"Homestead","loading"
"10",-2.88125113269276,-10.8083530553485,6.13311463177789,-9.54658498463592,4.59439851985301,"Plantation","loading"
