Species,"Intercept, 2.5%",50%,97.50%,5%,95%,"Shrub cover, 2.5%",50%,97.50%,5%,95%,"Pasture, 2.5%",50%,97.50%,5%,95%,"Homestead, 2.5%",50%,97.50%,5%,95%,"Pasture x shrub, 2.5%",50%,97.50%,5%,95%,"Homestead x shrub, 2.5%",50%,97.50%,5%,95%,WAIC
Eastern Nicator,-6.8200,-2.7700,-6.8500,-26.4000,2.5200,-8.8300,-2.2600,-0.3740,-0.1210,-10.9000,8.9900,6.0500,1.5200,1.4600,6.7500,1.0600,19.6000,23.4000,-5.9800,-2.2700,-5.7400,-23.7000,3.2600,-6.4900,0.8370,1.1400,5.5000,-0.6360,17.7000,20.2000,464.7087
Emerald-spotted Wood Dove,1.1300,-0.5950,-10.4000,-13.8000,-9.5600,-3.3100,3.6700,1.5600,-4.2200,-5.7800,-1.1200,6.5600,10.2000,10.2000,-0.9950,0.6400,1.6700,20.3000,1.4000,-0.3790,-9.2600,-12.3000,-8.3000,-1.8300,8.9700,9.0400,-1.4700,-0.5470,1.2800,17.6000,931.2938
Fork-tailed Drongo,2.8100,-4.6000,-9.6200,-21.7000,-2.0900,-8.2500,8.2900,-0.1550,-0.6410,-10.2000,6.3400,2.5300,16.6000,8.4700,10.5000,0.0575,19.5000,13.9000,3.5600,-3.7500,-8.1000,-19.8000,-0.4470,-6.4300,15.0000,6.0900,8.1400,-1.5300,16.7000,11.8000,1079.5188
Golden-breasted Bunting,1.3400,-8.6300,-13.4000,-21.3000,-16.3000,-7.4800,7.8200,-1.2400,-2.9500,-8.1700,-2.9800,5.1500,18.3000,6.6500,14.8000,4.9500,6.1400,19.0000,2.2200,-7.3300,-11.7000,-19.0000,-14.1000,-5.4000,16.2000,4.9900,11.6000,2.6100,4.5100,16.7000,631.0409
Golden-tailed Woodpecker,0.7510,-1.4600,-10.4000,-27.3000,-8.3700,-9.5000,6.6900,5.1400,-0.8490,-12.6000,3.3700,6.1900,15.6000,16.6000,12.5000,0.9060,18.1000,23.9000,1.5200,-0.7150,-8.8000,-24.8000,-6.4500,-7.0300,14.1000,14.7000,9.8800,-1.3300,15.4000,20.8000,535.6296
Gorgeous Bushshrike,-10.4000,-2.7300,-6.1300,-12.0000,1.1000,-3.3700,-5.2100,0.0705,1.0500,-0.7420,7.0700,7.7100,-1.0900,5.5900,8.3800,9.9500,15.4000,21.7000,-9.5300,-2.2200,-4.8300,-10.2000,2.0800,-1.6100,-1.7400,4.3200,7.0400,8.1800,13.9000,19.3000,337.5643
Green-backed Camaroptera,-2.8500,0.1810,-5.3000,-8.0000,-0.7060,-0.9250,-0.6730,1.3000,-0.7910,-0.5640,1.9600,4.4000,2.4000,4.2100,3.1900,6.1900,8.1900,14.2000,-2.4000,0.3440,-4.2400,-6.4100,-0.3060,-0.0945,1.6500,3.5100,2.3300,4.7500,6.7100,12.1000,593.8773
House Sparrow,-10.0000,-1.7600,-0.5120,6.5600,-3.4300,-0.7140,-5.7300,0.1480,2.0400,11.9000,-0.9360,4.0300,-3.6800,1.9200,5.7200,20.7000,1.2700,12.1000,-9.0800,-1.4000,-0.0447,7.2800,-2.9800,-0.0256,-3.9200,1.6000,4.9100,19.0000,0.9040,10.6000,344.2030
Kurrichane Thrush,0.5250,-2.4300,-16.4000,-18.0000,-9.6500,-2.8000,6.1500,3.0600,-6.9500,-5.2000,-0.2770,10.2000,15.4000,11.5000,2.6200,6.9700,14.7000,25.1000,1.2500,-1.5200,-14.7000,-16.0000,-8.0300,-0.6950,13.6000,9.9200,0.3050,5.0900,11.4000,22.6000,515.5616
Long-billed Crombec,0.9150,-3.2700,-8.8600,-10.6000,-8.8000,-7.4100,6.8000,2.2200,-0.4350,-0.1490,0.8360,3.1800,14.6000,11.3000,8.5100,11.5000,11.2000,15.3000,1.5900,-2.2500,-7.4700,-8.8300,-7.1600,-5.5900,13.3000,9.8500,6.8000,9.4300,9.2500,13.0000,1028.3622
Rattling Cisticola,1.9000,-1.6400,-3.8100,-1.3900,-0.8040,0.8040,3.3500,-0.7190,-1.2400,4.7000,0.3970,6.8300,5.6200,0.1640,1.0700,13.3000,1.6200,15.7000,2.1100,-1.4800,-3.3300,-0.5440,-0.6040,1.5300,5.1600,0.0138,0.6510,11.8000,1.4200,14.1000,1405.6770
Red-backed Shrike,-0.8420,-1.6200,-2.7900,-0.9680,-1.3400,0.3910,0.7390,-0.6240,-0.0695,4.9000,0.0955,6.2000,2.8600,0.2590,2.7100,13.6000,1.5200,15.2000,-0.5610,-1.4400,-2.2700,-0.2030,-1.0900,1.0700,2.4400,0.1170,2.1700,12.2000,1.2700,13.7000,1017.6373
Red-eyed Dove,0.8380,-4.9100,-11.2000,-17.5000,-13.2000,-14.8000,7.7000,2.9000,-0.8770,-3.6400,-2.1300,1.9100,19.9000,12.9000,15.2000,12.4000,12.9000,17.9000,1.8300,-3.8400,-9.4500,-15.3000,-11.5000,-12.1000,17.3000,11.1000,11.8000,9.3000,10.2000,15.3000,609.8461
Red-faced Cisticola,-16.3000,-2.4200,-10.5000,-10.9000,-16.3000,-14.2000,-10.0000,-0.1400,-1.2100,0.4750,-5.5200,-2.5900,-5.1000,2.8100,6.7900,11.4000,1.2500,9.1500,-15.2000,-2.0200,-8.8400,-9.0300,-14.4000,-12.1000,-5.7500,2.2400,5.5400,9.7100,0.4000,7.2200,212.4646
Red-faced Mousebird,-1.1200,-5.4100,-6.7200,-10.3000,-10.9000,-20.8000,4.5400,0.6450,3.7400,4.3200,1.6900,-1.5600,16.4000,8.9100,18.6000,20.1000,17.8000,16.3000,-0.2480,-4.0800,-5.0200,-8.0200,-8.8400,-17.7000,13.7000,7.0700,15.8000,17.6000,15.2000,13.7000,686.8508
Scarlet-chested Sunbird,-0.0412,-5.5700,-9.8500,-5.7100,-10.5000,-21.2000,6.4300,-0.2200,0.1480,8.0000,0.9210,-3.8500,21.1000,11.8000,18.3000,23.7000,14.2000,12.0000,0.4360,-4.3800,-7.9200,-3.3500,-8.2500,-18.1000,18.0000,9.4100,14.6000,21.0000,11.5000,9.3900,797.3399
Sombre Greenbul,-2.2700,0.1620,-0.6790,-6.9600,1.7000,-4.5400,-0.6970,0.9810,1.8500,-2.4900,4.5000,-0.6040,0.8200,2.2200,5.0600,1.3000,9.1200,2.7700,-1.9900,0.2790,-0.2540,-6.1600,2.0800,-3.8600,0.5390,1.9600,4.4300,0.6490,8.2500,2.2000,750.8964
Southern Black Tit,4.0400,-3.1200,-11.8000,-18.6000,-3.6800,-11.3000,12.2000,5.5000,0.1970,-6.6400,9.0500,1.3600,23.2000,16.8000,12.9000,6.8800,22.6000,16.3000,5.0300,-1.8700,-9.9000,-16.7000,-1.7100,-9.1800,21.2000,14.9000,10.6000,4.5500,20.4000,13.7000,886.1227
Southern Boubou,-5.7800,-0.7520,1.2300,0.0460,0.7170,1.5500,-3.2900,0.2940,3.3500,3.6400,3.8800,5.6100,-1.9800,1.4200,7.4300,8.5700,9.3100,12.0000,-5.2300,-0.5830,1.5300,0.7050,1.1500,2.1500,-2.1600,1.2200,6.5200,7.5400,8.1800,10.7000,404.8553
Southern Fiscal,-21.1000,-11.8000,-3.3500,2.5100,-11.8000,-14.2000,-13.3000,-4.7800,4.6000,10.8000,-1.8500,-3.4500,-7.3200,-0.1970,12.8000,20.6000,6.1500,5.3200,-19.8000,-10.5000,-2.0000,3.8300,-9.9200,-12.3000,-8.1200,-0.7650,11.4000,18.9000,4.8000,3.9800,370.0760
Southern Grey-headed Sparrow,-2.9900,-1.4900,-1.8000,-1.7000,-2.8600,-26.7000,-1.9700,-0.5860,-0.3090,3.6200,-1.0100,-10.2000,-1.2500,0.1910,1.0200,21.3000,0.4180,7.4200,-2.7900,-1.3300,-1.5200,-0.9090,-2.5100,-23.9000,-1.3600,0.0713,0.7830,18.3000,0.2030,4.7800,531.8460
Southern Masked Weaver,-7.5300,-2.4500,-8.0200,-4.1400,-12.0000,-20.9000,-2.5800,1.3600,-0.5700,7.8300,-4.9700,-4.2000,2.4700,5.6600,6.5500,22.7000,0.1830,11.1000,-6.6100,-1.6700,-6.7000,-2.3900,-10.7000,-18.1000,1.5600,4.8000,5.3300,20.1000,-0.6650,8.6800,464.9729
Speckled Mousebird,-0.8650,-0.2790,-10.1000,-7.3500,-15.3000,-20.6000,4.2800,6.3200,-1.9600,4.8900,-6.8300,-5.6000,12.0000,13.7000,7.2000,21.3000,3.8600,9.2200,-0.1080,1.5300,-8.6900,-5.6300,-13.8000,-18.2000,10.4000,12.2000,5.1500,18.4000,0.8120,6.7500,664.1524
Spectacled Weaver,0.9190,-15.0000,-7.0700,-14.2000,-12.0000,-20.9000,11.3000,-3.2100,7.2400,2.6800,3.0800,-2.5900,25.5000,10.9000,24.0000,21.2000,17.9000,14.7000,2.1000,-13.3000,-4.8200,-11.5000,-9.4300,-18.0000,23.0000,8.2800,21.3000,18.2000,15.4000,12.0000,537.2132
Spotted Flycatcher,-3.0500,-5.6000,-9.7300,-19.7000,0.6400,-6.3800,1.5600,-1.7800,-2.2400,-8.2700,7.0600,4.4000,7.0300,3.9000,5.5300,2.7400,15.8000,16.3000,-2.3200,-4.9300,-8.5200,-17.8000,1.8600,-4.4400,6.0400,2.5500,4.1900,0.9840,14.0000,14.2000,570.4589
Tawny-flanked Prinia,-1.3100,-0.7920,-3.4700,-3.5400,-1.4400,-12.2000,0.3590,0.1160,-0.5250,1.3900,-0.1490,-3.2500,2.5700,0.9940,2.1800,15.3000,1.2300,4.2800,-1.0200,-0.6270,-2.8900,-2.7200,-1.2300,-9.8900,2.0700,0.8520,1.6900,11.4000,0.9880,2.4300,958.4680
Terrestrial Brownbul,-4.5400,0.2630,-3.6200,-8.2000,-0.0321,1.8600,-1.9600,1.3200,0.1060,-0.8790,2.7900,11.9000,-0.1890,3.0900,3.7400,5.0000,10.6000,27.0000,-3.9600,0.4130,-2.7900,-6.7300,0.3430,3.0900,-0.5460,2.7300,2.9700,3.9100,8.5700,24.2000,435.1209
Violet-backed Starling,2.8800,-9.3100,-21.9000,-15.7000,-7.2500,-18.5000,10.3000,-1.5400,-10.3000,-0.8790,4.1700,-0.1340,22.1000,11.6000,6.4900,19.2000,21.0000,14.9000,3.9000,-8.0000,-20.0000,-13.5000,-5.1900,-15.3000,19.9000,9.1100,3.1100,16.0000,17.7000,12.4000,467.5441
White-bellied Sunbird,-0.2370,-0.0307,-0.9630,-4.1300,0.1730,-3.4200,0.4790,0.5770,0.2790,-1.4900,1.4800,-0.6350,1.3400,1.3000,1.7800,0.9970,3.2300,2.0700,-0.1180,0.0644,-0.7530,-3.6600,0.3670,-2.9500,1.1700,1.1700,1.4800,0.5730,2.8800,1.6000,1007.9093
White-browed Scrub Robin,1.2200,0.0238,-7.0700,-6.8000,-0.9270,2.1300,4.9000,2.5000,0.7290,3.6100,6.1900,11.3000,14.1000,11.8000,8.4400,14.2000,15.7000,23.6000,1.5900,0.2820,-5.3900,-4.9800,0.5650,3.5700,12.4000,9.7700,6.8700,12.3000,14.0000,21.5000,1144.9080
Willow Warbler,-0.4090,-16.3000,-7.9300,-17.2000,-3.2100,-20.2000,6.7900,-6.5500,3.9900,-0.4580,10.7000,-2.2200,20.4000,8.6500,20.4000,19.0000,25.0000,14.7000,0.4890,-14.6000,-5.9900,-14.7000,-0.7700,-17.1000,17.9000,4.9800,17.5000,16.0000,22.6000,12.0000,485.9124
Woodland Kingfisher,-2.0400,-5.8500,-14.2000,-17.0000,-6.1700,-7.6900,2.9900,-0.4490,-5.8100,-5.2900,1.0600,4.4000,9.8900,5.8600,1.4900,6.8200,9.0700,18.0000,-1.2100,-5.0000,-12.8000,-15.1000,-4.8400,-5.6500,8.6800,4.5900,0.3160,4.6600,7.4800,15.6000,507.2291
Yellow-breasted Apalis,-2.4900,0.7830,-12.5000,-25.4000,-7.5100,-11.4000,2.1700,7.5800,-2.8300,-10.5000,3.6800,4.6500,10.9000,20.5000,5.1300,2.5200,17.4000,22.1000,-1.7800,1.1900,-10.8000,-22.9000,-5.4300,-8.8300,9.3700,18.4000,3.4600,0.3930,14.4000,19.2000,456.6942
Yellow-fronted Canary,0.7790,-1.5400,-2.2500,-0.1220,-0.6130,-21.0000,1.8600,-0.5870,-0.1560,8.9200,0.5860,-4.2800,3.8300,0.2660,1.7800,24.3000,1.9900,10.0000,0.9350,-1.3600,-1.8200,0.8850,-0.4130,-18.0000,3.3700,0.1150,1.3900,21.6000,1.7200,7.7600,1480.6141
