"","Mean","95% LCRI","95% UCRI","90% LCRI","90% UCRI"
"Intercept",2.29337318709299,1.49677964672415,3.14808897967506,1.61414356204696,3.01050409221264
"Shrub cover",1.83200788457854,1.07508721206479,2.62264594287475,1.23054768187472,2.49475644760087
"Pasture",-1.01805081337497,-2.07705733729835,0.128354736191404,-1.90468099510591,-0.0592387312080944
"Homestead",-1.85417283023282,-3.2447382077235,-0.45572260038863,-3.0302816424184,-0.70385713774847
"Plantation",-5.22234174840079,-6.79627334151548,-3.60817863618778,-6.58513748894166,-3.9109643353896
