"","Mean","95% LCRI","95% UCRI","90% LCRI","90% UCRI"
"Intercept",2.87347336719429,2.00662271598151,3.86533341989223,2.15255634830859,3.71502064543221
"Shrub cover",0.924871487751208,0.0267774537193092,1.86023551721716,0.161776167554038,1.72281976578157
"Pasture",-0.654214601570082,-1.9057124263982,0.669949207160377,-1.75320876403923,0.454007310798573
"Homestead",-0.915520892759823,-2.61873454704807,0.714285984075485,-2.2867621539508,0.464087520875356
"Pasture x shrub",1.7226301378318,0.422188733653142,3.00606465583742,0.664526044303381,2.8341201316974
"Homestead x shrub",2.597611287405,0.759976983050457,4.44953339585833,1.06166571076319,4.13033787190981
