RobertsNum,Species,Latin,Mass,Length,Wing,Breed,BrSys,Diet,ShrubNest,CavityNest,TreeNest,GroundNest,GrassNest,NestMinHt,NestMaxHt,ClutchM,EggDim1,EggDim2,IncPeriod,NestlingPeriod,DepFledPer,NestlingPred,EggPred,Parasite,AdPred,MaxLifespan,AnnSurvival,MultiBrood,Phylo
810,Spectacled Weaver,Ploceus ocularis,29,15.5,72,1,Pair,invertebrates,1,0,1,0,0,1,7,2.6,21.9,14.8,13.5,17,14,0,0,0,0,10,,1,
811,Village Weaver,Ploceus cucullatus,37,16,79.8,1,Polyg,invertebrates,0,0,1,0,0,3,10,2.6,23.1,14.9,12,19,,0,0,0,0,24,0.63,1,
814,Southern Masked Weaver,Ploceus velatus,34,15,80,1,Polyg,invertebrates,1,0,1,0,1,,,2.6,20.9,14.5,13,16.5,,0,0,0,0,13.5,0.535,1,
815,Lesser Masked Weaver,Ploceus intermedius,20.5,14,69.6,1,Polyg,invertebrates,0,0,1,0,1,,,2.4,21.4,14.7,13,15.5,,0,0,0,0,9,,,
819,Red-headed Weaver,Anaplectes melanotis,22,14.5,77.6,1,Pair,invertebrates,0,0,1,0,0,2,10,2.5,20.4,14,12.5,17,,0,0,0,0,9.1,,,
821,Red-billed Quelea,Quelea quelea,19,12,64,1,Pair,seeds,0,0,1,0,0,1.5,6,2.8,18.3,13.2,11,11.5,9,0,0,0,0,7.8,0.42,1,
824,Southern Red Bishop,Euplectes orix,23,13,65,1,Polyg,seeds,0,0,0,0,1,1,2.5,3,19.2,14.1,11,13.5,,0,0,0,0,12.7,0.63,1,
828,Fan-tailed Widowbird,Euplectes axillaris,26,15,68,1,Polyg,seeds,0,0,0,0,1,0.2,8,2.8,19.7,14.1,12.5,15.5,14,0,0,0,0,8.2,,,
829,White-winged Widowbird,Euplectes albonotatus,20,15,66,1,Polyg,seeds,0,0,0,0,1,0.3,1.3,2.6,18.5,13.6,13,12.5,23.5,0,0,0,0,10,,,
831,Red-collared Widowbird,Euplectes ardens,19,12,65,1,Polyg,seeds,1,0,0,0,1,0.3,2,3,18.9,13.6,13.5,15.5,,0,0,0,0,8,0.54,,
834,Green-winged Pytilia,Pytilia melba,15,13,58.6,1,Pair,seeds,1,0,0,0,0,,,3.3,16.3,12.5,12.7,19.4,,0,0,0,0,8.5,0.52,,
838,Pink-throated Twinspot,Hypargos margaritatus,13,13,52,1,Pair,seeds,1,0,0,0,1,0,1,3,16.2,12.1,13,20.5,,0,0,0,0,,,,
840,African Firefinch,Lagonosticta rubricata,10,11.5,47.7,1,Pair,seeds,0,0,0,0,1,0.5,2,3.7,15.1,11.5,11.5,16.7,,0,0,0,0,5,,,
841,Jameson's Firefinch,Lagonosticta rhodopareia,9,11,48,1,Pair,seeds,1,0,0,0,1,0,1.8,3.9,14.6,11.2,13.5,17.5,,0,0,0,0,7.5,0.5,,
844,Blue Waxbill,Uraeginthus angolensis,10,12.5,53.9,1,Pair,seeds,1,0,1,0,0,0.5,4,3.5,14.8,10.8,11.5,19,,0,0,0,0,12,,,
846,Common Waxbill,Estrilda astrild,8,12,48.8,1,Pair,seeds,0,0,0,0,1,0,3,5.2,13.9,10.6,11.5,19.5,,0,0,0,0,9,0.61,,
857,Bronze Mannikin,Spermestes cucullatus,10,9.5,49,1,Pair,seeds,1,0,1,0,0,,,4.6,14.4,10.2,14,16,,0,0,0,0,3.4,0.352,1,
860,Pin-tailed Whydah,Vidua macroura,15,12.5,66.8,1,Polyg,seeds,0,0,0,0,1,,,3.1,15.5,11.7,0,0,,0,0,1,0,5.5,,1,
862,Long-tailed Paradise-Whydah,Vidua paradisaea,20,15,75.7,1,Polyg,seeds,1,0,0,0,0,,,3.4,17.7,12.9,0,0,,0,0,1,0,,,1,
864,Dusky Indigobird,Vidua funerea,15,11.5,67.5,1,Polyg,seeds,0,0,0,0,1,,,3,15,12,0,0,,0,0,1,0,2.3,,1,
869,Yellow-fronted Canary,Crithagra mozambicus,12.5,12,68.6,1,Pair,seeds,1,0,1,0,0,1.5,8,3.2,16.3,12.1,13.4,19.2,,0,0,0,0,16.5,0.648,,
877,Brimstone Canary,Crithagra sulphuratus,25,15.5,73.3,1,Pair,seeds,0,0,1,0,0,1.5,6,2.8,19.3,14,14.5,16.4,,0,0,0,0,11.6,0.529,,
881,Streaky-headed Seedeater,Crithagra gularis,20,15,79,1,Pair,seeds,1,0,1,0,0,1.5,12,2.5,18.5,13.8,14,17,,0,0,0,0,9.5,,,
884,Golden-breasted Bunting,Emberiza flaviventris,20,16,80.1,1,Pair,seeds,1,0,1,0,0,0.5,2,2.4,20.3,14.3,13,17,,0,0,0,0,,,,
1000,Aquila spp,Aquila spp,1300,58,431,1,Pair,vertebrates,0,0,0,0,0,,,1,61.5,49,45,72.5,70,0,0,0,1,14,80,,
1001,Acrocephalus spp,Acrocephalus spp,11,13,68.4,0,,invertebrates,0,0,0,0,1,,,,,,,,,0,0,0,0,9.8,51.1,,
