RobertsNum,Species,Latin,Mass,Length,Wing,Breed,BrSys,Diet,ShrubNest,CavityNest,TreeNest,GroundNest,GrassNest,NestMinHt,NestMaxHt,ClutchM,EggDim1,EggDim2,IncPeriod,NestlingPeriod,DepFledPer,NestlingPred,EggPred,Parasite,AdPred,MaxLifespan,AnnSurvival,MultiBrood,Phylo
483,Golden-tailed Woodpecker,Campethera abingoni,70,21,118,1,Pair,invertebrates,0,1,0,0,0,0.4,4,2.7,24.6,18.4,13,23.5,14,0,0,0,0,,,,
486,Cardinal Woodpecker,Dendropicos fuscescens,30,15,92,1,Pair,invertebrates,0,1,0,0,0,1,4,1.9,21,16.1,12.5,27,45,0,0,0,0,,,,
487,Bearded Woodpecker,Dendropicos namaquus,80,24,129,1,Pair,invertebrates,0,1,0,0,0,1.5,8,2.1,25.5,19.1,13,27,45,0,0,0,0,,,0,
494,Rufous-naped Lark,Mirafra africana,44,17,87.5,1,Pair,invertebrates,0,0,0,1,1,0,0,2.4,22.2,15.8,14.5,11,,0,0,0,0,,,,
496,Flappet Lark,Mirafra rufocinnamomea,26,15,75.3,1,Pair,invertebrates,0,0,0,1,1,0,0,2.2,20.8,14.8,,11,,0,0,0,0,,,,
498,Sabota Lark,Calendulauda sabota,23,14.5,76.7,1,Pair,seeds,0,0,0,1,1,0,0,2.3,20.6,14.8,,,,0,0,0,0,,,,
518,Barn Swallow,Hirundo rustica,20,14,121.3,0,Pair,invertebrates,0,0,0,0,0,,,,,,,,,0,0,0,0,17,33.8,,
522,Wire-tailed Swallow,Hirundo smithii,13,14.5,105.5,1,Pair,invertebrates,0,0,0,0,0,0.3,15,2.9,18.4,12.9,17,21,10,0,0,0,0,9.5,,,
524,Red-breasted Swallow,Hirundo semirufa,31,22,129.8,1,Pair,invertebrates,0,0,0,0,0,0.6,,3,22.2,15.5,20,23.9,15,0,0,0,0,6,,,
527,Lesser Striped Swallow,Hirundo abyssinica,18,17,107,1,Pair,invertebrates,0,0,0,0,0,,,3,19.7,13.9,17.5,17.5,24.5,0,0,0,0,5,,,
