Species,Intercept 2.5%,50%,97.50%,5%,95%,Shrub cover 2.5%,50%,97.50%,5%,95%,Pasture 2.5%,50%,97.50%,5%,95%,Homestead 2.5%,50%,97.50%,5%,95%,Pasture x shrub 2.5%,50%,97.50%,5%,95%,Homestead x shrub 2.5%,50%,97.50%,5%,95%,WAIC
Golden-breasted Bunting,1.34,-8.63,-13.4,-21.3,-16.3,-7.48,7.82,-1.24,-2.95,-8.17,-2.98,5.15,18.3,6.65,14.8,4.95,6.14,19,2.22,-7.33,-11.7,-19,-14.1,-5.4,16.2,4.99,11.6,2.61,4.51,16.7,631.0409
Golden-tailed Woodpecker,0.751,-1.46,-10.4,-27.3,-8.37,-9.5,6.69,5.14,-0.849,-12.6,3.37,6.19,15.6,16.6,12.5,0.906,18.1,23.9,1.52,-0.715,-8.8,-24.8,-6.45,-7.03,14.1,14.7,9.88,-1.33,15.4,20.8,535.6296
Gorgeous Bushshrike,-10.4,-2.73,-6.13,-12,1.1,-3.37,-5.21,0.0705,1.05,-0.742,7.07,7.71,-1.09,5.59,8.38,9.95,15.4,21.7,-9.53,-2.22,-4.83,-10.2,2.08,-1.61,-1.74,4.32,7.04,8.18,13.9,19.3,337.5643
Green-backed Camaroptera,-2.85,0.181,-5.3,-8,-0.706,-0.925,-0.673,1.3,-0.791,-0.564,1.96,4.4,2.4,4.21,3.19,6.19,8.19,14.2,-2.4,0.344,-4.24,-6.41,-0.306,-0.0945,1.65,3.51,2.33,4.75,6.71,12.1,593.8773
House Sparrow,-10,-1.76,-0.512,6.56,-3.43,-0.714,-5.73,0.148,2.04,11.9,-0.936,4.03,-3.68,1.92,5.72,20.7,1.27,12.1,-9.08,-1.4,-0.0447,7.28,-2.98,-0.0256,-3.92,1.6,4.91,19,0.904,10.6,344.203
Kurrichane Thrush,0.525,-2.43,-16.4,-18,-9.65,-2.8,6.15,3.06,-6.95,-5.2,-0.277,10.2,15.4,11.5,2.62,6.97,14.7,25.1,1.25,-1.52,-14.7,-16,-8.03,-0.695,13.6,9.92,0.305,5.09,11.4,22.6,515.5616
Long-billed Crombec,0.915,-3.27,-8.86,-10.6,-8.8,-7.41,6.8,2.22,-0.435,-0.149,0.836,3.18,14.6,11.3,8.51,11.5,11.2,15.3,1.59,-2.25,-7.47,-8.83,-7.16,-5.59,13.3,9.85,6.8,9.43,9.25,13,1028.3622
Rattling Cisticola,1.9,-1.64,-3.81,-1.39,-0.804,0.804,3.35,-0.719,-1.24,4.7,0.397,6.83,5.62,0.164,1.07,13.3,1.62,15.7,2.11,-1.48,-3.33,-0.544,-0.604,1.53,5.16,0.0138,0.651,11.8,1.42,14.1,1405.677
Red-backed Shrike,-0.842,-1.62,-2.79,-0.968,-1.34,0.391,0.739,-0.624,-0.0695,4.9,0.0955,6.2,2.86,0.259,2.71,13.6,1.52,15.2,-0.561,-1.44,-2.27,-0.203,-1.09,1.07,2.44,0.117,2.17,12.2,1.27,13.7,1017.6373
Red-eyed Dove,0.838,-4.91,-11.2,-17.5,-13.2,-14.8,7.7,2.9,-0.877,-3.64,-2.13,1.91,19.9,12.9,15.2,12.4,12.9,17.9,1.83,-3.84,-9.45,-15.3,-11.5,-12.1,17.3,11.1,11.8,9.3,10.2,15.3,609.8461
Red-faced Cisticola,-16.3,-2.42,-10.5,-10.9,-16.3,-14.2,-10,-0.14,-1.21,0.475,-5.52,-2.59,-5.1,2.81,6.79,11.4,1.25,9.15,-15.2,-2.02,-8.84,-9.03,-14.4,-12.1,-5.75,2.24,5.54,9.71,0.4,7.22,212.4646
Red-faced Mousebird,-1.12,-5.41,-6.72,-10.3,-10.9,-20.8,4.54,0.645,3.74,4.32,1.69,-1.56,16.4,8.91,18.6,20.1,17.8,16.3,-0.248,-4.08,-5.02,-8.02,-8.84,-17.7,13.7,7.07,15.8,17.6,15.2,13.7,686.8508
Scarlet-chested Sunbird,-0.0412,-5.57,-9.85,-5.71,-10.5,-21.2,6.43,-0.22,0.148,8,0.921,-3.85,21.1,11.8,18.3,23.7,14.2,12,0.436,-4.38,-7.92,-3.35,-8.25,-18.1,18,9.41,14.6,21,11.5,9.39,797.3399
Sombre Greenbul,-2.27,0.162,-0.679,-6.96,1.7,-4.54,-0.697,0.981,1.85,-2.49,4.5,-0.604,0.82,2.22,5.06,1.3,9.12,2.77,-1.99,0.279,-0.254,-6.16,2.08,-3.86,0.539,1.96,4.43,0.649,8.25,2.2,750.8964
Southern Black Tit,4.04,-3.12,-11.8,-18.6,-3.68,-11.3,12.2,5.5,0.197,-6.64,9.05,1.36,23.2,16.8,12.9,6.88,22.6,16.3,5.03,-1.87,-9.9,-16.7,-1.71,-9.18,21.2,14.9,10.6,4.55,20.4,13.7,886.1227
Southern Boubou,-5.78,-0.752,1.23,0.046,0.717,1.55,-3.29,0.294,3.35,3.64,3.88,5.61,-1.98,1.42,7.43,8.57,9.31,12,-5.23,-0.583,1.53,0.705,1.15,2.15,-2.16,1.22,6.52,7.54,8.18,10.7,404.8553
Southern Fiscal,-21.1,-11.8,-3.35,2.51,-11.8,-14.2,-13.3,-4.78,4.6,10.8,-1.85,-3.45,-7.32,-0.197,12.8,20.6,6.15,5.32,-19.8,-10.5,-2,3.83,-9.92,-12.3,-8.12,-0.765,11.4,18.9,4.8,3.98,370.076
Southern Grey-headed Sparrow,-2.99,-1.49,-1.8,-1.7,-2.86,-26.7,-1.97,-0.586,-0.309,3.62,-1.01,-10.2,-1.25,0.191,1.02,21.3,0.418,7.42,-2.79,-1.33,-1.52,-0.909,-2.51,-23.9,-1.36,0.0713,0.783,18.3,0.203,4.78,531.846
