Species,Intercept 2.5%,50%,97.50%,5%,95%,Shrub cover 2.5%,50%,97.50%,5%,95%,Pasture 2.5%,50%,97.50%,5%,95%,Homestead 2.5%,50%,97.50%,5%,95%,WAIC
House Sparrow,-9.2700,-1.1400,-0.5140,4.6100,-5.4700,-0.2080,1.8500,7.4800,-3.5400,0.7460,5.0700,13.5000,-8.5300,-0.9780,-0.1040,4.9900,-3.7900,0.5780,4.4600,12.3000,347.1560
Kurrichane Thrush,-0.1080,-0.9560,-15.5000,-20.2000,5.4800,3.2200,-6.8500,-9.5300,14.3000,12.3000,-0.4400,-1.7000,0.5030,-0.3710,-14.0000,-18.3000,12.7000,10.3000,-1.3600,-2.6800,512.9920
Long-billed Crombec,0.6650,-0.7180,-7.6200,-10.2000,5.9600,2.7800,-0.2410,-1.7800,13.4000,9.0900,7.0100,6.3100,1.3400,-0.1960,-6.3900,-8.8900,12.1000,7.9000,5.7400,4.8300,1018.9139
Rattling Cisticola,1.8200,-0.9930,-3.7000,-3.8300,3.2500,-0.4040,-1.0500,-0.8380,5.6100,0.2120,1.2700,2.4600,2.0400,-0.8970,-3.1500,-3.2400,5.0700,0.1070,0.8570,1.7600,1408.5168
Red-backed Shrike,-0.8860,-1.1300,-2.6000,-3.2400,0.6160,-0.4590,-0.0703,-0.2360,2.5400,0.1550,2.4400,3.0100,-0.6390,-1.0100,-2.1200,-2.6600,2.1500,0.0517,1.9700,2.3700,1005.2564
Red-eyed Dove,0.0867,-5.1200,-10.5000,-17.4000,6.2200,-0.2700,-1.0500,-5.7300,17.1000,9.0700,15.3000,6.8500,0.7730,-4.1300,-8.5400,-15.3000,14.9000,7.3500,11.0000,3.7700,607.8381
Red-faced Cisticola,-16.0000,-3.7500,-7.4700,-6.3200,-9.8200,-1.0000,0.5760,1.9700,-5.0300,1.1800,7.7400,10.2000,-15.0000,-3.1100,-6.0100,-4.8400,-5.6900,0.7590,6.5600,8.7700,207.9283
Red-faced Mousebird,-1.1300,-6.6200,-7.8100,-8.2300,4.8400,0.1460,2.1900,3.8700,17.4000,7.6600,16.9000,18.9000,-0.3180,-5.3200,-5.8600,-5.8700,15.0000,6.0400,13.6000,15.8000,689.6708
Scarlet-chested Sunbird,-0.6010,-3.5300,-8.0700,-1.6900,3.3000,-0.1040,-0.5630,8.2000,14.6000,8.4000,10.1000,21.8000,-0.3380,-2.7400,-6.4300,0.1910,12.7000,5.8200,6.9200,19.4000,768.4190
Sombre Greenbul,-2.3100,1.0900,-1.3000,-4.8500,-0.6800,1.9500,1.2100,-1.3500,0.9740,3.2100,3.9500,1.7800,-2.0300,1.2100,-0.8690,-4.2100,0.6810,2.9800,3.4400,1.2100,764.5691
